participantID,block_n,trials,blockType,forcedTrial,gem_presented,market_presented,door_side,chooseLeft,outcomeState,outcome,ons_fixation,ons_door_display,ons_responsecue,ons_gem_fixation,ons_outcome_display,ons_condition_text,ons_trigger,missed_trial,rew_loss,rt,prob_market_presented,correct_choice,market_reversal,pick_black,black_presented_force,prob_independent_1,prob_independent_2,prob_dependent,blackFirst,gem_colour
1,1,51,2,1,3,1,1,1,2,0,13147.38191,13152.68195,13154.68265,13156.21547,13159.09861,NaN,NaN,0,1,0.96210685,0.2,NaN,1,1,1,0.2,0.2,0.8,1,1
1,1,52,2,1,3,1,1,1,2,0,13161.11526,13163.89852,13165.93237,13167.46474,13169.74978,NaN,NaN,0,1,1.080262532,0.2,NaN,0,1,1,0.2,0.2,0.8,1,1
1,1,53,2,0,3,1,2,0,2,0,13171.76514,13177.332,13180.16488,13181.6981,13186.04945,NaN,NaN,0,-1,1.457239286,0.2,1,0,1,NaN,0.2,0.2,0.8,1,1
1,1,54,2,1,3,1,2,0,2,0,13188.06471,13194.01439,13197.49795,13199.03187,13203.6478,NaN,NaN,0,-1,0.715086708,0.2,NaN,0,1,1,0.2,0.2,0.8,1,1
1,1,55,2,0,4,2,2,0,2,0,13205.66443,13208.36509,13210.63145,13212.16419,13216.98127,NaN,NaN,0,1,1.325579688,0.2,0,0,1,NaN,0.2,0.2,0.8,1,3
1,1,56,2,1,4,2,2,0,2,0,13218.99804,13223.54803,13226.44777,13227.9825,13230.5314,NaN,NaN,0,-1,1.19390008,0.2,NaN,0,1,1,0.2,0.2,0.8,1,3
1,1,57,2,0,3,1,2,1,1,-1,13232.54842,13235.4312,13238.41422,13239.93081,13244.81408,NaN,NaN,0,-1,1.254206776,0.8,0,1,1,NaN,0.8,0.2,0.8,-1,1
1,1,58,2,1,3,1,2,0,1,-1,13246.83071,13249.08019,13252.36436,13253.88038,13256.66468,NaN,NaN,0,-1,0.87207803,0.8,NaN,0,1,1,0.8,0.2,0.8,1,1
1,1,59,2,0,3,1,1,0,1,1,13258.68038,13262.06447,13265.1644,13266.6973,13272.63066,NaN,NaN,0,1,0.774886011,0.8,1,0,1,NaN,0.8,0.2,0.8,-1,1
1,1,60,2,1,3,1,2,0,2,0,13274.64749,13279.52994,13281.66414,13283.19756,13286.26434,NaN,NaN,0,1,0.937781574,0.8,NaN,0,0,0,0.8,0.2,0.8,-1,1
