participantID,block_n,trials,blockType,forcedTrial,gem_presented,market_presented,door_side,chooseLeft,outcomeState,outcome,ons_fixation,ons_door_display,ons_responsecue,ons_gem_fixation,ons_outcome_display,ons_condition_text,ons_trigger,missed_trial,rew_loss,rt,prob_market_presented,correct_choice,market_reversal,pick_black,black_presented_force,prob_independent_1,prob_independent_2,prob_dependent,blackFirst
5,2,2,2,1,4,2,2,0,2,0,30144.5315387851,30146.9832305056,30149.0012943834,30150.5190363731,30154.7552738725,NaN,NaN,0,1,0.592309632000251,0.2,NaN,0,0,0,0.8,0.2,0.2,-1
5,2,3,2,0,3,1,2,1,1,1,30156.7733320583,30162.0269785596,30163.9616477717,30165.4793564626,30167.9978065494,NaN,NaN,0,1,0.609958271219512,0.8,1,0,1,NaN,0.8,0.2,0.2,-1
5,2,4,2,1,4,2,1,1,2,0,30170.0158439591,30172.5842644185,30175.7031074879,30177.2208056484,30179.7225363313,NaN,NaN,0,-1,0.720156179828336,0.2,NaN,0,1,1,0.8,0.2,0.2,1
5,2,5,2,1,3,1,1,1,1,-1,30181.7406084627,30184.3757542743,30186.1269651262,30187.6446894704,30192.8649654689,NaN,NaN,0,-1,0.539710078599455,0.8,NaN,0,0,0,0.8,0.2,0.2,-1
5,2,6,2,1,4,2,1,1,2,0,30194.8830179626,30199.7530747299,30201.2874461883,30202.8051722401,30208.292291588,NaN,NaN,0,-1,0.756924581390194,0.2,NaN,0,1,1,0.8,0.2,0.2,1
5,2,7,2,1,3,1,2,0,2,0,30210.3103529045,30213.6459918227,30216.5479980601,30218.0657155738,30223.5362122834,NaN,NaN,0,-1,0.449935423130228,0.8,NaN,0,0,0,0.8,0.2,0.2,-1
5,2,8,2,0,4,2,2,0,1,1,30225.5542260708,30229.3235002314,30231.2748470106,30232.7925756238,30235.961431472,NaN,NaN,0,1,0.584783822596364,0.2,0,0,1,NaN,0.8,0.2,0.2,1
5,2,9,2,1,3,1,1,1,1,1,30237.979459205,30243.8502212234,30246.5854344296,30248.1031493818,30251.071881256,NaN,NaN,0,1,0.40475210621662,0.8,NaN,0,1,1,0.8,0.2,0.2,1
5,2,10,2,1,3,1,2,0,1,-1,30253.0899326112,30257.9266103377,30260.1781667,30261.6958927517,30265.5985922869,NaN,NaN,0,-1,0.504628530739865,0.8,NaN,0,1,1,0.8,0.2,0.2,1
5,2,11,2,1,3,1,2,0,1,1,30267.6166430729,30270.5687030722,30273.7208659846,30275.2385920364,30277.9404481162,NaN,NaN,0,1,0.410500557540217,0.8,NaN,0,1,1,0.8,0.2,0.2,1
5,2,12,2,1,4,2,2,0,1,-1,30279.9585100019,30283.9946283657,30287.4470222066,30288.9647488276,30292.8507591269,NaN,NaN,0,-1,0.396908108454227,0.2,NaN,0,0,0,0.8,0.2,0.2,-1
5,2,13,2,1,3,1,2,0,2,0,30294.8688204433,30299.3719439829,30300.9230061002,30302.4407224754,30307.0939398493,NaN,NaN,0,-1,0.703545779564593,0.8,NaN,0,0,0,0.8,0.2,0.2,-1
5,2,14,2,1,4,2,1,1,2,0,30309.1120005965,30312.4643196433,30315.5831450671,30317.1008691267,30320.2863965652,NaN,NaN,0,-1,0.6300175145916,0.8,NaN,1,0,0,0.8,0.8,0.2,-1
5,2,15,2,0,3,1,1,1,2,0,30322.3044661351,30326.2405108432,30327.8583065662,30329.3759930579,30332.0111698915,NaN,NaN,0,1,0.575354859716754,0.8,0,0,0,NaN,0.8,0.8,0.2,-1
5,2,16,2,0,4,2,1,1,2,0,30334.0292314926,30337.1647307836,30340.3169116262,30341.8346274322,30347.5385713741,NaN,NaN,0,-1,0.590236284744606,0.8,1,0,0,NaN,0.8,0.8,0.2,-1
5,2,17,2,1,3,1,1,1,1,1,30349.5566432209,30354.1097838084,30357.3286880109,30358.8463915789,30363.6330351812,NaN,NaN,0,1,0.584253034314315,0.8,NaN,0,1,1,0.8,0.8,0.2,1
